0,16,2,18
1,16,13,4
2,16,15,20
3,16,31,19
4,16,28,17
5,6,18,13
6,6,44,12
7,6,24,13
8,6,8,20
9,3,36,12
10,3,41,7
11,46,19,6
12,46,34,12
13,46,20,10
14,46,44,18
15,46,11,15
16,46,34,7
17,2,12,8
18,2,31,5
19,2,21,8
20,2,31,15
21,2,14,2
22,2,14,19
23,22,19,20
24,22,21,3
25,43,3,17
26,43,28,2
27,43,38,3
28,7,20,20
29,7,20,2
30,7,27,18
31,7,0,15
32,34,23,11
33,34,38,3
34,34,1,6
35,34,23,4
36,1,47,14
37,1,26,16
38,1,20,18
39,1,32,20
40,1,31,13
41,1,38,17
42,1,38,13
43,18,20,14
44,18,25,8
45,18,29,6
46,18,25,13
47,24,37,20
48,24,36,11
49,24,21,3
50,24,20,10
51,24,16,18
52,41,9,17
53,41,3,20
54,41,5,20
55,41,36,9
56,8,12,11
57,8,10,8
58,8,34,19
59,0,47,17
60,0,31,2
61,0,5,1
62,0,13,4
63,0,35,20
64,15,14,13
65,15,23,6
66,15,20,15
67,15,18,18
68,15,17,11
69,19,13,7
70,19,7,15
71,28,47,17
72,28,41,2
73,26,39,14
74,26,33,20
75,12,11,14
76,12,4,4
77,12,28,16
78,38,26,11
79,38,0,16
80,17,22,17
81,17,41,7
82,17,5,16
83,17,12,1
84,17,7,18
85,17,31,10
86,17,18,11
87,21,39,6
88,21,31,17
89,21,11,5
90,21,28,15
91,21,15,12
92,13,40,5
93,13,41,17
94,13,47,13
95,13,34,20
96,13,30,19
97,47,46,11
98,47,35,3
99,47,19,3
100,14,21,18
101,14,17,8
102,14,43,11
103,23,11,20
104,23,42,20
105,30,2,17
106,30,41,12
107,30,5,8
108,30,4,6
109,30,9,17
110,30,18,20
111,30,38,7
112,30,4,2
113,29,44,3
114,29,4,4
115,29,46,8
116,5,22,7
117,5,45,6
118,5,10,9
119,5,10,6
120,5,46,7
121,5,4,5
122,5,30,3
123,49,8,10
124,49,21,14
125,27,20,14
126,27,13,12
127,27,11,18
128,27,30,16
129,27,6,11
130,27,24,6
131,27,28,4
132,27,49,1
133,9,43,5
134,9,47,4
135,9,23,8
136,9,45,14
137,37,38,12
138,37,28,2
139,39,21,13
140,39,25,19
141,39,16,14
142,39,19,6
143,39,3,3
144,39,36,16
145,39,43,9
146,39,33,11
147,20,31,5
148,20,39,20
149,48,36,2
150,48,7,12
151,48,8,14
152,32,6,11
153,32,26,1
154,32,34,12
155,10,20,5
156,10,17,20
157,10,9,3
158,10,12,9
159,42,12,12
160,42,29,4
161,42,26,15
162,42,11,1
163,42,11,19
164,42,21,18
165,42,36,5
166,33,21,11
167,33,24,12
168,33,16,14
169,33,28,13
170,33,6,4
171,33,6,12
172,45,3,13
173,45,28,20
174,45,6,16
175,45,5,5
176,45,35,4
177,45,29,5
178,45,42,13
179,45,5,5
180,36,8,7
181,36,14,7
182,36,22,6
183,36,41,4
184,36,14,18
185,36,15,18
186,35,1,1
187,35,11,3
188,35,9,11
189,35,38,9
190,35,29,20
191,40,15,6
192,40,44,19
193,40,49,2
194,40,35,5
195,11,15,1
196,11,5,12
197,11,42,2
198,11,34,20
199,11,15,10
200,11,41,3
201,11,22,12
202,11,22,12
203,31,12,18
204,31,4,4
205,31,3,7
206,31,17,12
207,31,39,10
208,31,16,16
209,25,11,13
210,25,28,12
211,25,42,2
212,25,17,18
213,25,44,19
214,25,5,5
215,4,24,9
216,4,15,3
217,44,6,5
218,44,28,1
219,44,30,6
220,44,30,3
221,44,29,8
222,44,26,8
223,44,18,1
