0,55,0,4
1,55,18,19
2,55,59,9
3,55,75,11
4,55,71,16
5,55,57,1
6,55,38,1
7,55,60,9
8,62,65,3
9,62,38,7
10,62,30,20
11,46,16,16
12,46,31,19
13,46,12,5
14,46,7,7
15,46,18,12
16,46,9,20
17,46,63,8
18,46,33,19
19,52,65,8
20,52,72,19
21,52,39,19
22,52,40,8
23,52,66,7
24,52,8,17
25,52,78,6
26,0,13,12
27,0,19,17
28,0,79,20
29,0,49,16
30,0,41,9
31,0,58,7
32,0,31,10
33,34,68,8
34,34,25,4
35,34,14,11
36,6,50,11
37,6,36,7
38,6,15,11
39,64,31,7
40,64,27,18
41,64,59,7
42,64,8,3
43,64,61,9
44,64,6,6
45,64,70,3
46,64,21,17
47,18,10,4
48,18,76,4
49,18,24,7
50,18,24,18
51,18,60,3
52,18,16,4
53,18,49,6
54,42,28,18
55,42,61,6
56,53,74,17
57,53,60,13
58,53,31,19
59,53,48,2
60,53,56,8
61,53,7,17
62,3,68,10
63,3,66,16
64,70,5,17
65,70,45,13
66,70,6,18
67,70,4,1
68,70,48,10
69,70,1,17
70,70,20,1
71,48,38,11
72,48,44,7
73,48,75,16
74,48,59,20
75,48,7,13
76,48,6,1
77,48,74,18
78,61,53,17
79,61,72,19
80,61,32,16
81,61,23,1
82,61,6,4
83,61,74,3
84,61,38,3
85,61,43,17
86,51,73,18
87,51,77,13
88,38,28,3
89,38,55,11
90,38,35,10
91,38,68,17
92,38,71,7
93,38,34,2
94,13,29,6
95,13,29,20
96,12,59,4
97,12,66,2
98,12,38,14
99,12,42,8
100,12,23,17
101,5,40,4
102,5,46,3
103,5,38,9
104,5,4,12
105,5,13,15
106,5,6,18
107,5,48,12
108,7,18,1
109,7,3,5
110,7,57,16
111,7,69,1
112,7,16,10
113,7,74,6
114,7,8,1
115,7,60,9
116,20,28,15
117,20,0,4
118,20,63,20
119,20,73,14
120,20,6,19
121,20,70,20
122,20,12,12
123,20,61,17
124,33,31,16
125,33,5,15
126,33,37,11
127,33,72,13
128,33,45,14
129,33,68,19
130,14,32,2
131,14,76,1
132,14,63,8
133,14,38,16
134,14,7,15
135,14,71,9
136,14,79,17
137,2,65,19
138,2,43,19
139,2,57,19
140,2,61,12
141,2,30,16
142,2,42,3
143,17,43,12
144,17,21,18
145,17,29,4
146,17,30,12
147,17,13,12
148,17,31,7
149,11,51,3
150,11,34,5
151,11,72,12
152,11,33,1
153,28,34,3
